name_club,link_club
Arsenal,https://www.premierleague.com/clubs/1/Arsenal/stats?se=719
Aston Villa,https://www.premierleague.com/clubs/2/Aston-Villa/stats?se=719
Bournemouth,https://www.premierleague.com/clubs/127/Bournemouth/stats?se=719
Brentford,https://www.premierleague.com/clubs/130/Brentford/stats?se=719
Brighton & Hove Albion,https://www.premierleague.com/clubs/131/Brighton-and-Hove-Albion/stats?se=719
Chelsea,https://www.premierleague.com/clubs/4/Chelsea/stats?se=719
Crystal Palace,https://www.premierleague.com/clubs/6/Crystal-Palace/stats?se=719
Everton,https://www.premierleague.com/clubs/7/Everton/stats?se=719
Fulham,https://www.premierleague.com/clubs/34/Fulham/stats?se=719
Ipswich Town,https://www.premierleague.com/clubs/8/Ipswich-Town/stats?se=719
Leicester City,https://www.premierleague.com/clubs/26/Leicester-City/stats?se=719
Liverpool,https://www.premierleague.com/clubs/10/Liverpool/stats?se=719
Manchester City,https://www.premierleague.com/clubs/11/Manchester-City/stats?se=719
Manchester United,https://www.premierleague.com/clubs/12/Manchester-United/stats?se=719
Newcastle United,https://www.premierleague.com/clubs/23/Newcastle-United/stats?se=719
Nottingham Forest,https://www.premierleague.com/clubs/15/Nottingham-Forest/stats?se=719
Southampton,https://www.premierleague.com/clubs/20/Southampton/stats?se=719
Tottenham Hotspur,https://www.premierleague.com/clubs/21/Tottenham-Hotspur/stats?se=719
West Ham United,https://www.premierleague.com/clubs/25/West-Ham-United/stats?se=719
Wolverhampton Wanderers,https://www.premierleague.com/clubs/38/Wolverhampton-Wanderers/stats?se=719
