Name,Goals,TopScorer_Probability
Armando Broja,0,0.77
Eric da Silva Moreira,0,0.76
Youssef Chermiti,0,0.74
Martial Godo,0,0.74
Franco Umeh-Chibueze,0,0.74
Ethan Wheatley,0,0.74
Damola Ajayi,0,0.74
Gustavo Nunes,0,0.74
Enso González,0,0.74
Farid Alfa-Ruprecht,0,0.74
Deivid Washington,0,0.74
Ben Broggio,0,0.74
Carlos Vinícius,0,0.74
Iwan Morgan,0,0.74
Matheus França,0,0.74
Martin Sherif,0,0.74
Luca Williams-Barnett,0,0.74
Kadan Young,0,0.74
Kobei Moore,0,0.74
Jack Fletcher,0,0.74
Nathan Broadhead,0,0.74
Nathan Butler-Oyedeji,0,0.74
Omari Kellyman,0,0.74
Shumaira Mheuka,0,0.74
Sasa Kalajdzic,0,0.74
Will Lankshear,0,0.74
Tyrique George,0,0.74
Luis Guilherme,0,0.65
Marc Guiu,0,0.65
William Osula,0,0.64
Patson Daka,0,0.59
Wilson Odobert,0,0.53
Maxwel Cornet,0,0.51
 Thiago,0,0.49
Hwang Hee-Chan,0,0.48
Rodrigo Gomes,0,0.48
Jaden Philogene,0,0.46
Ali Al-Hamadi,0,0.45
Chiedozie Ogbene,0,0.45
Jadon Sancho,0,0.43
Raheem Sterling,0,0.43
Carlos Forbs,0,0.42
Ross Stewart,0,0.42
 Richarlison,0,0.42
Wes Burns,0,0.37
 Antony,0,0.36
Federico Chiesa,0,0.35
Gabriel Jesus,0,0.34
Jack Clarke,0,0.34
Enes Ünal,0,0.33
Odsonne Édouard,0,0.33
Paul Onuachu,0,0.32
Niclas Füllkrug,0,0.31
Conor Chaplin,0,0.3
Eddie Nketiah,0,0.3
Ben Brereton,0,0.3
Taiwo Awoniyi,0,0.3
Timo Werner,0,0.3
Bobby De Cordova-Reid,0,0.29
 Savinho,0,0.29
Jota Silva,0,0.29
Joshua Zirkzee,1,0.28
Crysencio Summerville,1,0.28
Anthony Elanga,0,0.27
Reiss Nelson,1,0.26
Keane Lewis-Potter,0,0.26
Pedro Neto,1,0.25
Abdul Fatawu,0,0.25
Christopher Nkunku,1,0.24
Amad Diallo,1,0.24
Cody Gakpo,1,0.22
Rodrigo Muniz,1,0.22
Omari Hutchinson,1,0.22
Gonçalo Guedes,1,0.2
Simon Adingra,1,0.2
Michail Antonio,1,0.2
Dango Ouattara,1,0.15
Ramón Sosa,1,0.13
Danny Ings,1,0.11
Yankuba Minteh,1,0.11
Stephy Mavididi,2,0.1
Leandro Trossard,2,0.1
Jérémy Doku,1,0.1
Rasmus Højlund,1,0.09
Luis Sinisterra,1,0.09
 Joelinton,2,0.08
João Félix,1,0.08
Georginio Rutter,2,0.07
Iliman Ndiaye,2,0.07
Callum Hudson-Odoi,2,0.07
George Hirst,1,0.07
Marcus Rashford,2,0.06
Evan Ferguson,1,0.06
Cameron Archer,2,0.06
Justin Kluivert,2,0.06
Jhon Durán,4,0.05
Diogo Jota,2,0.05
Noni Madueke,4,0.04
Dominic Calvert-Lewin,2,0.04
Ollie Watkins,6,0.03
Jordan Ayew,3,0.03
Antoine Semenyo,4,0.03
Alex Iwobi,3,0.03
Jørgen Strand Larsen,4,0.03
Danny Welbeck,6,0.03
Morgan Rogers,3,0.03
Darwin Núñez,2,0.03
Son Heung-Min,3,0.03
João Pedro,4,0.03
Alejandro Garnacho,3,0.03
Jarrod Bowen,3,0.03
Bukayo Saka,4,0.03
Gabriel Martinelli,3,0.03
Alexander Isak,4,0.02
 Evanilson,4,0.02
Adam Armstrong,2,0.02
Dominic Solanke,4,0.02
Jamie Vardy,4,0.02
Dwight McNeil,3,0.02
Raúl Jiménez,4,0.02
Liam Delap,6,0.02
Jean-Philippe Mateta,3,0.02
Matheus Cunha,7,0.02
Luis Díaz,5,0.02
Chris Wood,8,0.01
Mohamed Salah,10,0.01
Erling Haaland,12,0.0
